run_id	vendor	model	spec_pin	weighted_total	l1	grammar_pass_rate	exec_pass_rate	judge_jcs	judge_schema	judge_mode_acc	judge_vector_score	judge_mae	judge_boundary_acc	grammar_pass_count	exec_pass_count	exec_fail_violation	exec_fail_missing	error_count	degraded_count
relay-qwen3.8-27b-20260920-035028	relay-qwen3.8-27b	qwen3.8-27b	127ba56	0.4773	below_L1	0.7833	0.0	0.6772	0.98	0.62	0.7658	0.0585	0.4	94	0	100	0	0	0
relay-gpt-5.2-20260919-125317	relay-gpt-5.2	gpt-5.2	127ba56	0.4484	below_L1	0.5667	0.08	0.7403	0.96	0.67	0.8016	0.0496	0.6	68	8	92	0	0	0
relay-gemini-3.5-flash-lite-20260919-092638	relay-gemini-3.5-flash-lite	gemini-3.5-flash-lite	127ba56	0.4415	below_L1	0.7	0.0	0.6551	0.94	0.57	0.7956	0.0511	0.4	84	0	100	0	0	0
relay-mimo-v2.5-20260920-010155	relay-mimo-v2.5	mimo-v2.5	127ba56	0.4313	below_L1	0.675	0.0	0.65	0.96	0.56	0.8198	0.045	0.35	81	0	100	0	0	0
relay-claude-sonnet-4.5-20260919-003613	relay-claude-sonnet-4.5	claude-sonnet-4.5	127ba56	0.4046	below_L1	0.6417	0.0	0.5999	0.92	0.43	0.7695	0.0576	0.45	77	0	100	0	0	0
relay-minimax-m2.7-20260920-031356	relay-minimax-m2.7	minimax-m2.7	127ba56	0.403	below_L1	0.4833	0.07	0.6978	0.96	0.63	0.7689	0.0578	0.5	58	7	93	0	0	0
relay-gpt-5.4-mini-20260919-131318	relay-gpt-5.4-mini	gpt-5.4-mini	127ba56	0.3617	below_L1	0.5333	0.0	0.5836	0.88	0.46	0.668	0.083	0.45	64	0	100	0	0	0
relay-minimax-m3-20260920-034727	relay-minimax-m3	minimax-m3	127ba56	0.316	below_L1	0.7167	0.0	0.2172	0.25	0.25	0.3359	0.166	0.0	86	0	100	0	75	0
relay-gpt-5.4-pro-20260919-133020	relay-gpt-5.4-pro	gpt-5.4-pro	127ba56	0.3043	below_L1	0.8083	0.05	0.013	0.0	0.0	0.0649	0.2338	0.0	97	5	7	0	198	0
relay-gpt-5.4-nano-20260919-132119	relay-gpt-5.4-nano	gpt-5.4-nano	127ba56	0.2306	below_L1	0.1833	0.0	0.5547	0.82	0.49	0.6233	0.0942	0.35	22	0	100	0	0	0
relay-gpt-5-nano-20260919-121446	relay-gpt-5-nano	gpt-5-nano	127ba56	0.2074	below_L1	0.0833	0.0	0.5943	0.91	0.58	0.6514	0.0871	0.25	10	0	100	0	0	0
relay-claude-opus-4.8-20260918-233028	relay-claude-opus-4.8	claude-opus-4.8	127ba56	0.0622	below_L1	0.0167	0.15	0.013	0.0	0.0	0.0649	0.2338	0.0	2	15	13	0	194	0
relay-claude-opus-4.6-20260918-231057	relay-claude-opus-4.6	claude-opus-4.6	127ba56	0.0576	below_L1	0.0333	0.12	0.013	0.0	0.0	0.0649	0.2338	0.0	4	12	67	0	97	0
relay-claude-sonnet-4.6-20260919-011415	relay-claude-sonnet-4.6	claude-sonnet-4.6	127ba56	0.0284	below_L1	0.05	0.02	0.013	0.0	0.0	0.0649	0.2338	0.0	6	2	98	0	0	0
relay-claude-opus-4.7-20260918-231258	relay-claude-opus-4.7	claude-opus-4.7	127ba56	0.0278	below_L1	0.0583	0.01	0.013	0.0	0.0	0.0649	0.2338	0.0	7	1	99	0	0	0
relay-claude-opus-5-20260918-235100	relay-claude-opus-5	claude-opus-5	127ba56	0.0156	below_L1	0.0333	0.0	0.013	0.0	0.0	0.0649	0.2338	0.0	4	0	0	0	269	0
relay-claude-haiku-4.5-20260918-225457	relay-claude-haiku-4.5	claude-haiku-4.5	127ba56	0.0039	below_L1	0.0	0.0	0.013	0.0	0.0	0.0649	0.2338	0.0	0	0	0	100	0	0
deepseek-official-deepseek-flash-20260925-092832	deepseek-official-deepseek-flash	deepseek-flash	127ba56f4eb1f35c2951d4aec4b7bd22831119ff	0.5623	below_L1	0.675	0.31	0.7253	0.88	0.77	0.8067	0.0483	0.4	81	31	65	4	0	0
openrouter-anthropic-claude-haiku-4.5-20260925-094619	openrouter-anthropic-claude-haiku-4.5	anthropic/claude-haiku-4.5	127ba56f4eb1f35c2951d4aec4b7bd22831119ff	0.4185	below_L1	0.7083	0.0	0.5686	0.92	0.41	0.7029	0.0743	0.4	85	0	100	0	0	0
openrouter-anthropic-claude-opus-4.7-20260926-002600	openrouter-anthropic-claude-opus-4.7	anthropic/claude-opus-4.7	127ba56f4eb1f35c2951d4aec4b7bd22831119ff	0.509	below_L1	0.8333	0.01	0.7128	0.99	0.64	0.8441	0.039	0.45	100	1	99	0	0	0
openrouter-anthropic-claude-sonnet-4.6-20260925-092828	openrouter-anthropic-claude-sonnet-4.6	anthropic/claude-sonnet-4.6	127ba56f4eb1f35c2951d4aec4b7bd22831119ff	0.4793	below_L1	0.7333	0.01	0.7305	0.94	0.67	0.8226	0.0443	0.55	88	1	99	0	0	0
openrouter-deepseek-deepseek-v4.1-flash-20260925-092955	openrouter-deepseek-deepseek-v4.1-flash	deepseek/deepseek-v4.1-flash	127ba56f4eb1f35c2951d4aec4b7bd22831119ff	0.5578	below_L1	0.7333	0.26	0.7006	0.86	0.77	0.753	0.0617	0.35	88	26	73	1	0	0
openrouter-qwen-qwen3.8-flash-20260925-151914	openrouter-qwen-qwen3.8-flash	qwen/qwen3.8-flash	127ba56f4eb1f35c2951d4aec4b7bd22831119ff	0.6064	below_L1	0.8583	0.18	0.8099	0.94	0.86	0.7894	0.0527	0.6	103	18	60	15	8	0
openrouter-z-ai-glm-5.3-flash-20260925-185655	openrouter-z-ai-glm-5.3-flash	z-ai/glm-5.3-flash	127ba56f4eb1f35c2951d4aec4b7bd22831119ff	0.5558	below_L1	0.675	0.31	0.7034	0.91	0.73	0.747	0.0632	0.4	81	31	55	14	0	0
qwen-official-deepseek-v4.1-flash-20260925-232030	qwen-official-deepseek-v4.1-flash	deepseek-v4.1-flash	127ba56f4eb1f35c2951d4aec4b7bd22831119ff	0.5731	below_L1	0.7333	0.28	0.728	0.88	0.76	0.7399	0.065	0.5	88	28	66	6	0	0
qwen-official-qwen3.8-flash-20260925-092842	qwen-official-qwen3.8-flash	qwen3.8-flash	127ba56f4eb1f35c2951d4aec4b7bd22831119ff	0.658	below_L1	0.9	0.25	0.8518	1.0	0.87	0.8189	0.0453	0.7	108	25	71	0	4	0
